Job Title,Company Name,Experience Level,Work Type,Job Type,Location,Company type,Number of employees,Job description
Artificial Intelligence Research Intern,Modernmonklabs,,Remote,Full-time,India,,11-50,"
                About Modern Monk Labs 
We
 are on a journey of building an ecosystem for startup evolution. We 
blend scientific research and corporate skills to create expertise in 
solving research problems in a creative, effective and innovative way 
𝐌𝐢𝐬𝐬𝐢𝐨𝐧: Fuse scientific research into commercial business to forge applied research accessible to startups 
𝐕𝐢𝐬𝐢𝐨𝐧: Build an ecosystem for startup evolution 
𝐂𝐮𝐥𝐭𝐮𝐫𝐞: Be passionate, love your work and take pride in what you do 
Requirements and Responsibilities
•
 Bachelors or Master’s degree from top schools like IISC/IIT s/NITs/BITS
 in Mathematics, Engineering or any other related/interdisciplinary 
fields • Proficiency with Python and C++ including OOPS, data structures and algorithms • Ability to work independently and collaboratively • Excellent Mathematical intuition along with communication and presentation skills • Quick Learner with research aptitude, critical thinking, reasoning and time management skills • Ability to read, understand and implement research papers • Experience in writing blogs, articles and research papers • Ability to Design experiments and conduct them • Experience in Deep Learning, Machine Learning and Image processing • Experience in Control systems, Mechatronics or Robotics • Experience with ROS , Matlab and Simulink • Experience in building robots from scratch 
Benefits 
• Full time opportunity with competitive salary on successful completion of the internship • Mentorship from best in the industry professionals • Best team to collaborate and work on exciting, challenging and cutting edge research • Training and up skilling at every step of your journey • Letter of recommendations based on performance 
Who can apply? • Can start internship immediately and are available for a duration of 6 months • Must have excellent internet connectivity and own laptop • Have relevant skills and interests
            "
Market Research Analyst,Y-Not Design & Mfg.,,On-site,Full-time,Bengaluru,,51-200,"
                Company OverviewY-Not
 Design & Manufacturing is a certified minority, woman-owned and Hub
 Zone company based in the US that specializes in global procurement and
 distribution of custom-made products, retail and white label items, 
employee recognition gifts, and sustainable promotional products. Y-Not 
specializes in unique, custom-designed products that extend a customer's
 brand from a last-minute event to an employee engagement program. The 
company was founded in 2005 and the owner has been in the same 
manufacturing and service business for over 25 years. What our customers
 love about us is that they can track their products all the way to the 
factory Our differentiators and 5 core strengths include, Quality & 
Safety, 1st, Customer Service, Best Pricing, Global Supply & Key 
Performance Metrics. Our customer base includes many of the Fortune 
1,000 brands such as Google, Coca Cola and Norwegian Cruise Line to name
 a few.SummaryThe
 Market Research Analyst plays a crucial role in capturing and analyzing
 reliable and accurate information on the industry, products, customers,
 RFQs, RFIs, bids, and competitors. This role requires excellent 
analytical and research skills to provide valuable insights that guide 
decision-making processes.Roles and Responsibilities:• Lead Generation and CRM Updating: Proactively generate leads and maintain the CRM database with up-to-date information.• Vendor Registration Forms: Complete the process of vendor registration forms efficiently and accurately.• Certification and Memberships: Ensure all relevant certifications and memberships are kept current and compliant.•
 RFQ, RFI, and RFP Identification: Identify the right RFQs, RFIs, and 
RFPs from sourcing platforms, work on them diligently, and complete the 
necessary processes.• Sales Event Research and 
Planning: Research and identify sales events, register the sales team, 
and create strategic plans for participation in these events.•
 Data Collection and Analysis: Collect data on consumers, competitors, 
and the marketplace. Consolidate this information into actionable items,
 reports, and presentations for strategic use.• Market Research SWOT Analysis: Conduct valid and reliable SWOT analyses to assess market trends and opportunities.•
 Global Opportunities Tracking: Be responsible for capturing information
 on new bids, tenders, and opportunities globally, keeping the team 
informed and prepared.The Market Research Analyst 
role demands a proactive, detail-oriented individual with a strong 
ability to translate data into strategic insights. The ideal candidate 
will contribute significantly to the organization's growth by providing 
key market intelligence.Preferred Education and Experience1. Master’s in business management or B.E/B.Tech2. Must have 5 Years of experience in a market research domain. Must also have a proven and successful track record.3. Preference to candidates with digital customer acquisition experience.- Work from office- US shift (5 pm to 2.30 am)
            "
Member of Technical Staff,Lineaje Inc ,,Hybrid,Full-time,Bengaluru,,11-50,"
                Lineaje is looking for a Python developer to 
join our engineering team and help us create dynamic software 
applications for our clients. In this role, you will be responsible for 
writing and testing scalable code and developing back-end components. To
 be successful as a Python developer, you should possess in- depth 
knowledge of object-relational mapping and ability to design responsive 
applications that perfectly meet the needs of the client. 
Responsibilities      Coordinating with development teams to determine application requirements. Writing scalable code using Python programming language. Testing and debugging applications. Develop back-end components to improve responsiveness and overall performance. Assessing and prioritizing client feature requests. Improve functionality of existing systems. Coordinate with internal teams to understand user requirements and provide technical solutions. Integrating data storage solutions. Coordinating with front-end developers. 

Qualifications      3-5+ years of development experience A Bachelor's/Master’s degree in computer science, computer engineering, or a related field. Expert knowledge of Python and related frameworks. Understanding of multi-process architecture and the threading limitations of Python. Knowledge with SQL / NoSQL databases, ability to write complex queries and optimize them. Knowledge of object-relational mapping (ORM). Familiarity with front-end technologies (like JavaScript and HTML5) is a plus. Familiarity with code versioning tools such as Git. Good problem-solving skills. Excellent written and verbal communication skills with proven fluency in English. Time management and organizational skills. Experience working with a team. 


            "
Data Analyst,Pixis,Associate,On-site,Full-time,Bengaluru,Software Development,201-500,"
                About us:Pixis
 is a US-based codeless technology company that develops accessible AI 
to empower brands to scale their performance marketing efforts and 
augment their decision-making seamlessly. Since its inception, Pixis has
 been on a mission to develop powerful AI infrastructure that equips 
marketers across countries with robust plug-and-play AI products, 200+ 
proprietary, self-evolving AI models without having to write a single 
line of code.
The
 company has raised a total funding of $209M across Series A, B, C and 
C1, and is backed by recognized investors including SoftBank Vision Fund
 2, Touring Capital, Grupo Carso, General Atlantic, Celesta Capital and 
Chiratae Ventures.
Our
 customer base includes global brands such as DHL Express, Joe & The
 Juice, Claroshop, Allbirds, L’Oreal, HDFC Bank, Skoda, Swiggy, Clar and
 SmartAsset, to name a few Today Pixis’ talented and diverse team of 
300+ spread across over 14 geographies is focused on building incredibly
 transformative AI products to help customers get the most out of their 
marketing and demand generation efforts.Get ready to embark on an AI venture at https://pixis.ai/
Why Pixis?We
 at Pixis believe that nothing is impossible, when you fail fast you 
learn faster, zero hierarchy, put the team above everything else, get 
constructive feedback that helps you build better products, and disagree
 if you disbelieve. These values guide us in everything we do, and is 
reflected in our employees and the products we build together.
Responsibilities:1. Develop and maintain Mixpanel dashboards to track key performance indicators (KPIs).2. Utilize dB querying techniques to extract data for analysis and reporting purposes.3. Leverage Excel VB Scripting to automate tasks and streamline data processing workflows.4. Demonstrate proficiency in Excel, including advanced functions and pivot tables, for data analysis and visualisation.5. Cultivate a dash-boarding and data summarising mindset to effectively communicate insights and trends to stakeholders.6. Collaborate with cross-functional teams to understand business requirements and provide data-driven recommendations.
Requirements:1. Proven expertise in Mixpanel dashboarding and analytics.2. Strong skills in dB querying, with experience in SQL or similar querying languages.3. Proficiency in Excel VB Scripting for automation and data manipulation.4. Advanced knowledge of Excel, including formulas, functions, and pivot tables.5. Ability to think critically and summarize complex data into actionable insights.6. Excellent communication skills to convey findings and recommendations to diverse audiences.
            "
Data Scientist,Data Poem,,On-site,Full-time,Bengaluru,,51-200,"
                If u think you can replace two levels above 
your designation and didn't get the opportunity to do real data science 
work, we are the place for you.
If
 you are really charged up by an opportunity to build paradigm-changing 
stuff and not incremental stuff, You will thrive with us
If
 you are self-driven, independent, and won't sleep till he cracks the 
problem/ barrier on his way to solve the problem ... you will grow 
exponentially with us.
If
 u expect spoon feeding kind of work culture and you look for your boss 
to solve the chaos and give u a structured brief ... we are not the 
place. Don't even apply Responsibilities      Design accurate and scalable prediction algorithmsCollaborate with the engineering team to bring analytical prototypes to productionGenerate actionable insights for business improvements

Qualifications      Bachelor's
 /Master's degree or equivalent experience in a quantitative field 
(Statistics, Mathematics, Computer Science, AI/ Data sciences)0 - 2 year of experience in quantitative analytics or data modelingUnderstanding of predictive modeling, machine learning, clustering and classification techniques, and algorithmsExcellent Fluency in a programming language (Python)Fluency in using Tensorflow, PyTorch

            "
Machine Learning Engineer,Vitrana,Mid-Senior level,On-site,Full-time,Bengaluru,Software Development,201-500,"Responsibilities:

      Study and transform data science prototypesResearch and implement appropriate ML algorithms and toolsRun machine learning tests and experimentsPerform statistical analysis and fine-tuning using test resultsExtend existing ML libraries and frameworksSelect appropriate datasets and data representation methods ### Requirements:BSc in Computer Science, Mathematics or similar field; Masters degree is a plus.2-4 yrs experience as a Machine Learning Engineer or similar role.Deep knowledge of math, probability, statistics and algorithmsFamiliarity with machine learning frameworks (like Keras or TensorFlow) and libraries (like scikit-learn)Ability to write robust code in Python"
Data Scientist,Coffeee.io,Mid-Senior level,Remote,Contract,India,"Technology, Information and Internet",11-50,"
                About Coffeee.ioCoffeee.io
 is an AI-powered global marketplace for hiring exceptional pre-assessed
 developers, making hiring the most efficient and bias-free.
Mode: Work from anywhere (Remote)Job Title: Data ScientistMin Exp- 4+ yearsLocation- Remote
Job Summary: The
 Data Scientist will be responsible for interpreting and analyzing 
complex data sets to identify trends, patterns, and insights that will 
help drive informed business decisions. They will work closely with 
various stakeholders to understand business requirements, develop 
analytical solutions, and present findings in a clear and actionable 
manner.
Responsibilities:      Data Collection and Cleaning: Collecting
 and cleaning large volumes of structured and unstructured data from 
various sources, ensuring data quality and integrity.Data Analysis: Applying
 advanced statistical and machine learning techniques to analyze data 
sets, identify patterns, and extract meaningful insights.Model Development: Developing
 predictive models and algorithms to solve specific business problems, 
such as customer churn prediction, demand forecasting, and 
recommendation systems.Data Visualization: Creating visually compelling dashboards and reports to communicate findings and insights to non-technical stakeholders.Collaboration: Collaborating
 with cross-functional teams, including data engineers, software 
developers, and business analysts, to implement analytical solutions and
 drive business impact.Continuous Learning: Staying
 abreast of the latest developments in data science, machine learning, 
and artificial intelligence to continuously improve skills and 
knowledge.
Requirements:      Educational Background: Bachelor’s or Master’s degree in Computer Science, Statistics, Mathematics, Economics, or related field. A Ph.D. is a plus.Technical Skills:
      Proficiency in programming languages such as Python, R, or Java.Strong knowledge of statistical analysis, machine learning algorithms, and data mining techniques.Experience with data visualization tools such as Tableau, Power BI, or Matplotlib.Familiarity with big data technologies such as Hadoop, Spark, or Kafka.
      Analytical Skills: Ability to think critically, solve complex problems, and make data-driven decisions.Experience: 4+ years of experience in a data science or analytics role, preferably in a corporate or business environment.

            
          
          
          "
Junior Data Scientist,Swiss Re,,,Full-time,Bengaluru,Insurance,10001+,"About The Role

As
 a Junior Data Scientist, you will be responsible to help senior team 
members in building Data Science Solutions for the assigned line of 
business. You will be required to do Exploratory Data analysis, 
statistical & Machine learning modelling, Correlation analysis to 
understand the data. You will work with Senior team members and 
stakeholders in Underwriting, Claims and Data Engineering teams to help 
in building Data Science Solutions. You must be willing to learn and use
 advanced analytical methods and data science techniques to help develop
 insight on trends to forecast in future as well as predictive analysis,
 helping improve the predictability and accuracy of costing the model. 
You will have a direct impact in helping steer the Data science 
solutions and ultimately the overall Business Unit's performance

About The Team

The
 APM Data Science team comprised of a mix of highly experienced members 
already entrenched in advanced analytics and highly motivated newer 
members who thrives in a dynamic and fast learning environment. This 
team reports into the Chief Underwriting Officer and is part of 
Actuarial Portfolio Management Unit.

Main Responsibilities

Data Understanding & Driving Insights

      Work
 with senior team members to help build a clear and independent view on 
the internal/external data along with effective visualizations and 
recommendations.Understand business requirement & translate details into impactful technical requirements. 


Advanced Data Analytics 

      Help and work with senior team members to build Data science solutions, involving:      Develop, Validate, Deploy and Maintain ML Models Build interactive dashboards using Palantir Foundry Present your findings & convince business using explainability & other techniques.
Willing to learn and use Gen AI techniques to develop 
insights and trends that can be used for risk selection or 
differentiation; and costing improvements. 

About You

Professional experience

      A
 minimum of 1-4 years of experience in Data Science. Knowledge of big 
data technologies or platforms like Azure / Databricks / Palantir 
Foundry would be an additional advantageYou have 
experience in – building Machine Learning models, predictive & 
statistical modelling, time series forecasting, regression, 
classification. Know-how of Gen AI & LLMs would be an additional 
advantage.You are reasonably familiar with building Data Engineering Pipelines & Data wrangling techniques.


Technical Skills

      You
 have highly developed problem solving and analytical skills. You can 
translate the data insights into effective visualizations for high 
impact communication.You have applied these skills using real business data to develop insights and practical solutions.You
 have a good understanding/ willing to learn advanced ML methods and 
related hyperparameter tuning/ how to avoid overfitting techniques.You have statistical programming skills (e.g. Phyton, R for Data Science) & SQLYou are able to quickly learn big data platforms like Azure Data bricks / Palantir Foundry 


Personal Skills

      You are motivated to focus executing on delivering high quality results on timeYou
 can articulate and communicate your work effectively and be comfortable
 in presenting your work to senior team members and leadersYou
 work for the collective success of the team in close collaboration with
 senior team members. You are open and dependable; and demonstrate 
collaboration and intercultural competence. 


Educational level

      Bachelor's/ Master's degree in Data Science, IT , Mathematics, Statistics, or equivalent statistical fieldsData science course completion certificate


About Swiss Re

Swiss
 Re is one of the world’s leading providers of reinsurance, insurance 
and other forms of insurance-based risk transfer, working to make the 
world more resilient. We anticipate and manage a wide variety of risks, 
from natural catastrophes and climate change to cybercrime. We cover 
both Property & Casualty and Life & Health. Combining experience
 with creative thinking and cutting-edge expertise, we create new 
opportunities and solutions for our clients. This is possible thanks to 
the collaboration of more than 14,000 employees across the world.

Our
 success depends on our ability to build an inclusive culture 
encouraging fresh perspectives and innovative thinking. We embrace a 
workplace where everyone has equal opportunities to thrive and develop 
professionally regardless of their age, gender, race, ethnicity, gender 
identity and/or expression, sexual orientation, physical or mental 
ability, skillset, thought or other characteristics. In our inclusive 
and flexible environment everyone can bring their authentic selves to 
work and their passion for sustainability.

Keywords

Reference Code: 129393"
Hiring Python Developer (Graduate Fresher)-,Statforge Technologies ,Entry level,Remote,Full-time,India,"Technology, Information and Internet",51-200,"We are seeking a talented Python Developer to join our team. The ideal 
candidate should have 2-5 years of experience in Python development and a
 strong understanding of software engineering principles. As a Python 
Developer, you will be responsible for developing and maintaining 
high-quality software solutions, collaborating with cross-functional 
teams, and contributing to the overall success of our projects.

      Bachelor's degree in Computer Science, Engineering, or a related field.0-1 years of professional experience in Python development.Strong understanding of software engineering principles and design patterns.Proficient in Python, with a good knowledge of its ecosystems.Experience with Django, Flask, or other Python frameworks.Familiarity with front-end technologies (such as JavaScript, HTML5, and CSS3) is a plus.Experience with relational databases (e.g., PostgreSQL, MySQL) and non-relational databases (e.g., MongoDB) is preferred.Understanding of code versioning tools, such as Git.Excellent problem-solving and communication skills.Ability to work independently and in a team environment.


Must Have

      Bachelor's or Master's degree in Computer Science, Software Engineering, or related field.Minimum of 0-1 years of hands-on experience in Python.Proven experience in leading development teams and projects.Strong proficiency in RESTful API development in Python.Proficiency in CRUD operations and unit testing framework like Pytest.In-depth knowledge of software design patterns and best practices.Excellent problem-solving skills and ability to handle complex technical challenges.Effective communication and leadership abilities.Experience with agile software development methodologies


Good To Have

      Java and AWS certifications (e.g., Oracle Certified Professional, Angular certified).Familiarity with cloud platforms (e.g., AWS, Azure, GCP).Experience with database systems (e.g., SQL, NoSQL).Front-end development skills (e.g., JavaScript, HTML, CSS, Typescript).


Skills: python,software,skills,aws,communication,computer science,databases,design,design patterns,javascript"
Business Analyst,EG Allied Pvt. Ltd. ,,Remote,Full-time,India,,51-200,"
                We are looking for a business analyst 
professional who identifies goals, develops best practices for data 
collection, and analyses current processes so that they may be improved 
to the greatest extent possible.
RESPONSIBILITIES:      Evaluating
 business processes, anticipating requirements, uncovering areas for 
improvement, and developing and implementing solutions.Leading ongoing reviews of business processes and developing optimization strategies.Staying up to date on the latest process and IT advancements to automate and modernize systems.Conducting meetings and presentations to share ideas and findings.Performing requirements analysis.Managing competing resources and priorities.Monitoring deliverables and ensuring timely completion of projects.

REQUIREMENTS:      Advanced technical skills.Excellent documentation skills.Fundamental analytical and conceptual thinking skills.Experience creating detailed reports and giving presentations.Excellent planning, organizational, and time management skills.Experience leading and developing top-performing teams.

ABOUT US:Entire
 Globe Allied Pvt. Ltd provides services in the IT & BPO industry. 
Offering our services globally and connecting all to the world of 
innovation. We believe in providing the best solutions to our clients 
keeping Customer satisfaction and the brand’s reputation in mind. We are
 in the business of outsourcing services, providing complete business 
solutions for Start-ups, Small and Medium Businesses and currently 
expanding our reach towards large enterprises. We at EG Allied engage 
ourselves with innovative ideas to get a competitive advantage over 
global competition.
CONTACT US:E-Mail: info@egallied.comWebsite: www.egallied.comTo know more about us visit our website
            "
Enterprise Analyst,Decathlon Sports India ,Mid-Senior level,On-site,Full-time,Bengaluru,Retail,1001-5000,"We are looking for an Enterprise Analyst for the Decathlon global 
organization. The Enterprise Analytics team would use data, analytics, 
scenario and predictive modeling to drive enterprise performance, 
strategies and transformations, and steer actions needed by leaders to 
achieve company goals. In this role, you will build the reporting and 
analytics across multiple value dimensions to serve the strategic needs 
of the company, and deliver the insights needed to steer the business."
Business Analyst,FyerX - Your Trusted Marketing Partner ,Entry level,On-site,Full-time,Bengaluru,Marketing Services,11-50,"Salary Structure:

(5.4L Per Annum) 1- 6 Months - Rs. 30,000 per month (in hand) + Variable Pay upto Rs.15,000 per month

(6.6L Per Annum) 7-12 Months - Rs. 35,000 per month + Variable Pay upto Rs.20,000 per month

(7.8L Per Annum) 13-24 Months - Rs.40,000 per month + Variable Pay upto Rs.25,000 per month

Work Arrangement:

Work from Office

Location: BTM Layout, Bangalore

The
 Business Analyst will be responsible for managing a portfolio of 
clients, building and maintaining strong client relationships, 
identifying new business opportunities, and collaborating with 
cross-functional teams to ensure client needs are met. The Business 
Analyst will also be responsible for project management, budget 
management, and managing client expectations.

Responsibilities:

Client Relationship Management: Build
 and maintain robust relationships with clients, comprehending their 
business objectives and tailoring marketing solutions to their needs.

Project Coordination: Collaborate with internal teams and clients to establish project timelines, ensuring timely and successful delivery.

Progress Tracking: Meticulously update project management tools to track project progress and communicate updates to stakeholders.

Client Communication: Maintain
 clear and timely communication with clients via calls, WhatsApp, and 
email, professionally addressing queries and providing regular status 
updates.

Lead Engagement: Engage with potential clients from Facebook, Google Ads, and the FyerX website, nurturing leads and identifying opportunities.

Opportunity Identification: Proactively identify opportunities for upselling and cross-selling FyerX's diverse range of services to enhance client results.

Data Management: Manage the process of calling warm leads from Google and meticulously update lead data.

Documentation: Prepare compelling proposals, contracts, and other necessary documents to formalize client engagements.

Team Collaboration: Support internal teams to ensure on-time delivery of high-quality work.

Content Support: Assist in providing content guidance to internal resources and carefully review work deliverables before submission to clients.

Requirements:

Proven Experience: MBA Graduate preferred

Excellent Communication: Possess exceptional written and verbal communication skills.

Organizational Skills: Exceptional organizational and time-management abilities.

Technical Knowledge: Working
 knowledge of project management tools (ideally Zoho Projects) and 
customer relationship management software (ideally Zoho CRM).

Marketing Expertise: Understanding of key marketing services, including SEO, social media, website development, branding, and performance marketing.

Deadline-Driven: Ability to manage multiple projects simultaneously and thrive under tight deadlines.

If
 you have the required experience and skills, and are looking for a 
challenging role in a dynamic work environment, then we invite you to 
apply for the position of Business Analyst at FyerX."
Data Analyst,Apac Business Times,,Remote,Full-time,India,,51-200,"
                Company Description
 APAC
 Business Times is a B2B publication dedicated to empowering businesses 
across the Asia-Pacific (APAC) region. Our mission is to serve as a 
catalyst for growth and transformation, supporting businesses in their 
journey toward success in the global marketplace. We focus on improving 
brand identity, fostering innovation, and providing strategic insights 
to make informed decisions.
 Role Description
 This
 is a full-time remote role for a Data Analyst. The Data Analyst will be
 responsible for analyzing large datasets, utilizing data analytics and 
statistical methods to extract insights, and presenting findings to 
stakeholders. The role involves data modeling, identifying patterns and 
trends, and producing reports and visualizations to support informed 
decision-making.
 Qualifications
       Data Analytics, Statistical Analysis, and Data Modeling skillsStrong analytical skills and ability to work with large datasetsExcellent communication and presentation skillsProficiency in data analysis software and toolsExperience with data visualization and reportingStrong problem-solving and critical-thinking abilitiesAbility to work independently and remotelyExperience in the business or finance industry is a plusBachelor's degree in Data Science, Statistics, Mathematics, or related field

            "
ANALYST DATA & INSIGHTS,TE Connectivity,Associate,On-site,Full-time,Bengaluru,"Appliances, Electrical, and Electronics Manufacturing",10001+,"At TE, you will unleash your potential working with people
 from diverse backgrounds and industries to create a safer, sustainable 
and more connected world. 

Job Overview

TE
 Connectivity's Marketing Data & Insights teams provide deep data 
(internal and external sources) and analytics capabilities in support of
 all marketing activities including expertise in data methodologies, 
systems and tools, delivering insights to online and offline activities 
by harvesting and utilizing online and offline metrics and customer 
behavior patterns. They translate quantitative and qualitative data into
 actionable initiatives that drive engagement and deepen relationships 
and manage creation and distribution of dashboards to monitor company 
and department goals and key KPI’s and identify areas for growth and 
improvement, implement customer feedback mechanisms to capture voice of 
customer, and communicate findings and best practices to relevant 
stakeholders. They manage analysis, performance, placement and 
effectiveness of external marketing efforts including paid search, 
email, display, and new media. They have experience with Adobe suite of 
digital analytics tools, Eloqua, Salesforce.com, SEO, SEM, digital 
acquisition, and e-commerce, product marketing CRM processes, sales 
automation, lead generation and management.

Roles & Resposibilities

      Analyze
 marketing’s campaigns and demand generation program effectiveness at 
driving leads, customers, and revenue for the business unitBuild scable solutuons which can be adopted by adopted globallyIdentifies
 and generates needed insights to improve the business & marketing 
performance, shows leadership to bring insights forward, in addition to 
generating analyses when askedLeverage insights to propose segmentation, targeting & marketing effectiveness / improvementsUtilize various tools (Tableau, Alteryx) to join disparate data sources together to create a more robust story for the businessCollaborate
 cross functionally to prioritize new initiative/enhancements to be 
implemented to deliver against Marketing’s overall SMA & CRM 
objectivesCreate new and leverage existing traits/segments within DMP to destination map to marketing platformsCreate and distribute weekly, monthly, and quarterly performance reportsConduct ad hoc data analyses and performance reports as needed.


Qualifications And Experience

      BA/BS in Business, Finance, Economics, or other related field (Master a Plus)4-6 years of experience analyzing sales and marketing dataStrong
 ability to identify business issues, formulate plans to resolve these 
issues and effectively communicate the results to all levels of the 
organizationExperience with Tableau, Alteryx.Experience is analyzing digital data along with building complex ETL solution is desiredExperience in AWS, Python, regression, Machine learning etc. is a plusExperience
 with marketing analytics platforms and has worked on digital marketing 
data is an added benefit: Google Analytics, Google Adwords, Adobe 
Analytics, Adobe Target.Candidate certified in tools is an added advantageExperience with Root Cause Analysis (RCA), Gap Analysis, Cost Benefit Analysis and Risk Assessment Strong analytical skills with impeccable attention to detail and Microsoft Office ToolsAbility to collaborate in a global team environmentAbility to learn new tools quickly


Competencies

Values: Integrity, Accountability, Inclusion, Innovation, Teamwork

About Te Connectivity

TE
 Connectivity is a global industrial technology leader creating a safer,
 sustainable, productive, and connected future. Our broad range of 
connectivity and sensor solutions enable the distribution of power, 
signal and data to advance next-generation transportation, renewable 
energy, automated factories, data centers, medical technology and more. 
With more than 85,000 employees, including 8,000 engineers, working 
alongside customers in approximately 140 countries. TE ensures that 
EVERY CONNECTION COUNTS. Learn more at , ,

What Te Connectivity Offers

We
 are pleased to offer you an exciting total package that can also be 
flexibly adapted to changing life situations - the well-being of our 
employees is our top priority!

      Competitive Salary PackagePerformance-Based Bonus PlansHealth and Wellness IncentivesEmployee Stock Purchase ProgramCommunity Outreach Programs / Charity EventsEmployee Resource Group


Across our global sites and business units, we put together 
packages of benefits that are either supported by TE itself or provided 
by external service providers. In principle, the benefits offered can 
vary from site to site."
Data Analyst,Fraoula,,Remote,Full-time,India,,11-50,"
                Company Description
 Fraoula
 is a pioneering data and analytics company that leverages data to drive
 actionable insights and strategic decisions. We specialize in 
transforming raw data into valuable intelligence, empowering 
organizations to thrive in the digital age.
 Role Description
 This
 is a full-time remote role for a Data Analyst at Fraoula. The Data 
Analyst will be responsible for analyzing data, conducting data 
analytics, applying statistical techniques, and communicating insights 
to stakeholders. The Data Analyst will also be involved in data modeling
 and creating data visualizations.
 Qualifications
       Analytical Skills, Data Analytics, and StatisticsStrong communication skillsExperience with data modelingKnowledge of data visualization toolsStrong problem-solving skillsAttention to detail and accuracyAbility to work independently and remotelyExperience in the digital analytics industry is a plusBachelor's degree in Data Analytics, Statistics, Computer Science, or related field

            "
